Date	Open	High	Low	Close	Adj Close	Volume
2026-03-30	100.12	100.19	100.08	100.12	98.40	2749805
2026-03-23	100.19	100.23	100.10	100.23	98.37	2041840
2026-03-16	100.12	100.16	100.10	100.16	98.33	2578682
2026-03-09	100.16	100.18	100.07	100.18	98.30	1917040
2026-03-02	100.08	100.17	100.04	100.12	98.26	2091963
2026-02-23	100.14	100.21	100.13	100.18	98.22	2010220
2026-02-16	100.14	100.15	100.12	100.13	98.18	2906194
2026-02-09	100.10	100.11	100.06	100.06	98.14	1999101
2026-02-02	100.13	100.21	100.08	100.10	98.09	2864711
2026-01-26	100.16	100.23	100.14	100.14	98.05	1804854
2026-01-19	100.16	100.25	100.08	100.19	98.01	2335666
2026-01-12	100.13	100.22	100.07	100.09	97.98	1924216
2026-01-05	100.14	100.18	100.07	100.18	97.94	2342501
2025-12-29	100.02	100.05	99.97	99.97	97.89	2298819
2025-12-22	100.06	100.11	100.01	100.10	97.86	2849190
2025-12-15	100.13	100.16	100.09	100.09	97.82	2177574
2025-12-08	100.16	100.21	100.12	100.12	97.78	2426682
2025-12-01	100.02	100.03	99.96	99.98	97.75	2376501
2025-11-24	100.16	100.24	100.08	100.20	97.72	1913664
2025-11-17	100.05	100.08	99.99	100.08	97.69	2256785
2025-11-10	100.05	100.14	99.97	100.03	97.66	2140144
2025-11-03	100.20	100.25	100.16	100.25	97.62	2175239
2025-10-27	100.06	100.15	100.05	100.09	97.59	2829020
2025-10-20	100.00	100.07	99.98	100.01	97.55	2329498
2025-10-13	100.03	100.10	100.01	100.01	97.52	1666987
2025-10-06	100.10	100.11	100.05	100.11	97.48	1695023
2025-09-29	100.18	100.28	100.13	100.13	97.44	1931181
2025-09-22	100.07	100.13	100.04	100.04	97.39	2280671
2025-09-15	100.02	100.07	99.96	100.07	97.35	2326134
2025-09-08	100.14	100.18	100.08	100.11	97.32	1846543
2025-09-01	100.10	100.14	100.04	100.08	97.29	2113000
2025-08-25	100.08	100.13	100.02	100.13	97.25	2960611
2025-08-18	100.17	100.21	100.16	100.21	97.21	2006188
2025-08-11	100.14	100.20	100.12	100.12	97.17	1670106
2025-08-04	100.07	100.08	100.04	100.07	97.12	2394471
2025-07-28	100.07	100.09	100.03	100.03	97.08	2062369
2025-07-21	100.08	100.11	100.04	100.07	97.04	1837223
2025-07-14	100.04	100.10	100.01	100.03	97.01	2420660
2025-07-07	100.07	100.13	100.05	100.10	96.98	2640355
2025-06-30	100.16	100.22	100.08	100.18	96.94	2917558
2025-06-23	100.08	100.12	100.03	100.12	96.90	2664539
2025-06-16	100.15	100.19	100.05	100.17	96.87	1973406
2025-06-09	100.09	100.12	100.08	100.08	96.84	2015594
